#       # k              E            BS weight       TS weight
      1.0573727     -1.7343875       0.0016664       0.0016664
      1.0653229     -1.7114178       0.0016660       0.0016660
      1.0732731     -1.6870488       0.0016655       0.0016655
      1.0812232     -1.6613413       0.0016651       0.0016650
      1.0891734     -1.6343595       0.0016645       0.0016645
      1.0971236     -1.6061699       0.0016640       0.0016640
      1.1050737     -1.5768420       0.0016634       0.0016634
      1.1130239     -1.5464471       0.0016628       0.0016628
      1.1209741     -1.5150587       0.0016621       0.0016621
      1.1289243     -1.4827522       0.0016613       0.0016614
      1.1368744     -1.4496043       0.0016606       0.0016606
      1.1448246     -1.4156930       0.0016598       0.0016597
      1.1527748     -1.3810973       0.0016589       0.0016589
      1.1607249     -1.3458968       0.0016579       0.0016580
      1.1686751     -1.3101717       0.0016570       0.0016569
      1.1766253     -1.2740022       0.0016559       0.0016559
      1.1845755     -1.2374686       0.0016548       0.0016548
      1.1925256     -1.2006507       0.0016536       0.0016536
      1.2004758     -1.1636277       0.0016524       0.0016524
      1.2084260     -1.1264782       0.0016510       0.0016511
      1.2163761     -1.0892794       0.0016496       0.0016497
      1.2243263     -1.0521073       0.0016482       0.0016482
      1.2322765     -1.0150365       0.0016466       0.0016467
      1.2402267     -0.9781395       0.0016451       0.0016450
      1.2481768     -0.9414872       0.0016434       0.0016432
      1.2561270     -0.9051480       0.0016414       0.0016416
      1.2640772     -0.8691883       0.0016395       0.0016397
      1.2720273     -0.8336717       0.0016377       0.0016375
      1.2799775     -0.7986594       0.0016354       0.0016357
      1.2879277     -0.7642095       0.0016332       0.0016335
      1.2958778     -0.7303773       0.0016312       0.0016309
      1.3038280     -0.6972151       0.0016285       0.0016289
      1.3117782     -0.6647719       0.0016260       0.0016264
      1.3197284     -0.6330937       0.0016234       0.0016239
      1.3276785     -0.6022231       0.0016208       0.0016213
      1.3356287     -0.5721992       0.0016180       0.0016186
